N,time_bellman,time_dijkstra
515,0.015045,0.000038
516,0.017896,0.000246
517,0.018664,0.000194
518,0.018115,0.000105
519,0.016660,0.000261
520,0.018364,0.000020
521,0.023115,0.000168
522,0.021354,0.000171
523,0.022339,0.000208
524,0.024069,0.000259
525,0.022033,0.000264
526,0.019050,0.000329
527,0.022753,0.000039
528,0.019845,0.000050
529,0.018867,0.000147
530,0.016118,0.000043
531,0.014809,0.000061
532,0.014596,0.000132
533,0.018173,0.000146
534,0.017261,0.000141
535,0.021004,0.000151
536,0.018933,0.000031
537,0.014580,0.000107
538,0.018244,0.000078
539,0.014313,0.000095
540,0.013943,0.000091
541,0.014414,0.000153
542,0.014508,0.000184
543,0.014983,0.000165
544,0.016980,0.000215
545,0.018921,0.000124
546,0.016841,0.000079
547,0.019537,0.000031
548,0.016190,0.000020
549,0.013669,0.000074
550,0.014229,0.000067
551,0.014072,0.000288
552,0.017677,0.000158
553,0.014245,0.000042
554,0.015278,0.000171
555,0.014250,0.000151
556,0.015392,0.000164
557,0.014748,0.000157
558,0.016972,0.000219
559,0.020480,0.000115
560,0.017466,0.000174
561,0.019498,0.000241
562,0.021232,0.000058
563,0.022181,0.000512
564,0.022005,0.000064
565,0.023943,0.000383
566,0.020844,0.000198
567,0.019926,0.000143
568,0.021563,0.000193
569,0.018804,0.000343
570,0.016080,0.000091
571,0.015929,0.000113
572,0.016222,0.000177
573,0.015765,0.000035
574,0.019311,0.000147
575,0.015731,0.000122
576,0.017303,0.000047
577,0.015632,0.000050
578,0.016283,0.000091
579,0.015058,0.000157
580,0.019609,0.000091
581,0.020296,0.000076
582,0.017250,0.000240
583,0.020534,0.000248
584,0.020151,0.000138
585,0.016961,0.000393
586,0.019043,0.000065
587,0.015168,0.000098
588,0.018144,0.000052
589,0.015775,0.000387
590,0.018139,0.000312
591,0.018560,0.000263
592,0.020730,0.000282
593,0.015600,0.000034
594,0.015025,0.000143
595,0.015355,0.000034
596,0.015415,0.000055
597,0.015836,0.000031
598,0.016523,0.000199
599,0.018657,0.000097
600,0.014491,0.000030
601,0.016114,0.000042
602,0.015185,0.000099
603,0.019347,0.000174
604,0.023218,0.000072
605,0.018721,0.000186
606,0.018373,0.000052
607,0.018912,0.000172
608,0.018345,0.000039
609,0.019451,0.000071
610,0.018713,0.000201
611,0.015165,0.000244
612,0.016067,0.000191
613,0.014295,0.000209
614,0.014801,0.000105
615,0.014849,0.000152
616,0.015393,0.000105
617,0.017684,0.000037
618,0.016180,0.000091
619,0.014884,0.000098
620,0.015643,0.000143
621,0.014908,0.000151
622,0.014719,0.000171
623,0.014983,0.000100
624,0.016778,0.000219
625,0.017359,0.000145
626,0.014155,0.000143
627,0.015182,0.000171
628,0.015514,0.000059
629,0.014953,0.000054
630,0.015443,0.000126
631,0.016287,0.000193
632,0.018867,0.000065
633,0.015406,0.000022
634,0.015066,0.000047
635,0.014973,0.000121
636,0.015726,0.000354
637,0.015484,0.000246
638,0.014768,0.000045
639,0.018089,0.000071
640,0.015143,0.000155
641,0.015109,0.000132
642,0.014933,0.000098
643,0.015327,0.000112
644,0.014913,0.000052
645,0.014766,0.000057
646,0.017156,0.000060
647,0.016183,0.000099
648,0.014676,0.000036
649,0.014664,0.000161
650,0.015314,0.000082
651,0.015278,0.000186
652,0.014838,0.000040
653,0.014714,0.000170
654,0.018963,0.000220
655,0.014967,0.000160
656,0.015057,0.000177
657,0.014786,0.000231
658,0.016283,0.000166
659,0.014700,0.000141
660,0.014517,0.000205
661,0.016629,0.000269
662,0.016680,0.000074
663,0.015302,0.000099
664,0.014635,0.000149
665,0.015382,0.000301
666,0.016340,0.000159
667,0.015343,0.000168
668,0.015297,0.000028
669,0.017873,0.000130
670,0.015374,0.000118
671,0.015813,0.000090
672,0.015041,0.000169
673,0.015112,0.000059
674,0.014629,0.000208
675,0.015261,0.000150
676,0.016710,0.000110
677,0.014483,0.000036
678,0.015492,0.000082
679,0.014920,0.000124
680,0.015523,0.000163
681,0.015343,0.000043
682,0.015708,0.000025
683,0.015646,0.000124
684,0.016842,0.000165
685,0.015201,0.000195
686,0.014546,0.000174
687,0.014969,0.000160
688,0.016215,0.000148
689,0.015567,0.000181
690,0.015007,0.000083
691,0.018006,0.000160
692,0.015604,0.000226
693,0.014782,0.000168
694,0.014572,0.000181
695,0.015418,0.000041
696,0.014776,0.000139
697,0.014868,0.000067
698,0.016560,0.000053
699,0.019069,0.000180
700,0.015142,0.000149
701,0.015976,0.000084
702,0.014666,0.000094
703,0.015574,0.000138
704,0.015009,0.000045
705,0.015263,0.000143
706,0.017597,0.000107
707,0.015821,0.000070
708,0.014998,0.000132
709,0.015019,0.000163
710,0.014986,0.000037
711,0.014993,0.000147
712,0.014665,0.000304
713,0.016155,0.000224
714,0.020530,0.000173
715,0.017767,0.000175
716,0.018090,0.000176
717,0.016521,0.000153
718,0.018010,0.000166
719,0.015861,0.000243
720,0.021223,0.000304
721,0.020133,0.000193
722,0.017400,0.000172
723,0.017749,0.000154
724,0.018764,0.000174
725,0.014473,0.000206
726,0.016353,0.000059
727,0.016259,0.000120
728,0.014890,0.000106
729,0.014761,0.000123
730,0.015729,0.000118
731,0.015316,0.000163
732,0.014951,0.000165
733,0.016505,0.000198
734,0.017850,0.000133
735,0.015139,0.000165
736,0.016081,0.000105
737,0.015745,0.000042
738,0.015922,0.000048
739,0.015138,0.000087
740,0.014866,0.000135
741,0.017475,0.000093
742,0.015313,0.000106
743,0.015413,0.000169
744,0.014570,0.000158
745,0.014767,0.000155
746,0.014891,0.000164
747,0.014888,0.000154
748,0.015999,0.000200
749,0.018550,0.000302
750,0.015828,0.000158
751,0.015098,0.000077
752,0.014988,0.000047
753,0.014951,0.000034
754,0.014789,0.000194
755,0.014730,0.000072
756,0.018158,0.000165
757,0.013532,0.000088
758,0.014815,0.000104
759,0.015011,0.000040
760,0.014954,0.000047
761,0.015032,0.000162
762,0.014508,0.000246
763,0.016439,0.000190
764,0.016765,0.000104
765,0.014576,0.000080
766,0.015045,0.000111
767,0.014978,0.000101
768,0.014659,0.000033
769,0.015111,0.000207
770,0.015136,0.000115
771,0.018401,0.000137
772,0.013500,0.000039
773,0.014808,0.000130
774,0.015383,0.000029
775,0.014895,0.000127
776,0.015712,0.000033
777,0.014797,0.000044
778,0.015958,0.000129
779,0.017734,0.000068
780,0.014544,0.000095
781,0.014590,0.000102
782,0.014957,0.000189
783,0.014903,0.000121
784,0.014763,0.000086
785,0.014806,0.000169
786,0.017184,0.000168
787,0.015541,0.000175
788,0.014848,0.000096
789,0.016065,0.000122
790,0.015175,0.000131
791,0.015040,0.000152
792,0.014921,0.000159
793,0.018156,0.000030
794,0.019333,0.000154
795,0.015017,0.000199
796,0.014521,0.000012
797,0.016455,0.000153
798,0.015161,0.000155
799,0.016483,0.000040
800,0.016223,0.000082
801,0.018682,0.000077
802,0.013956,0.000078
803,0.014825,0.000145
804,0.015129,0.000054
805,0.017724,0.000153
806,0.015791,0.000092
807,0.015055,0.000149
808,0.018544,0.000147
809,0.015184,0.000121
810,0.015688,0.000143
811,0.015376,0.000156
812,0.015292,0.000145
813,0.015140,0.000203
814,0.015352,0.000195
815,0.016056,0.000086
816,0.015996,0.000137
817,0.014602,0.000365
818,0.015629,0.000236
819,0.014831,0.000090
820,0.015461,0.000077
821,0.014735,0.000171
822,0.015242,0.000094
823,0.018371,0.000102
824,0.014260,0.000224
825,0.014470,0.000113
826,0.015268,0.000150
827,0.015875,0.000054
828,0.015263,0.000183
829,0.015037,0.000153
830,0.017226,0.000207
831,0.015567,0.000151
832,0.014890,0.000128
833,0.015515,0.000117
834,0.014598,0.000191
835,0.014598,0.000226
836,0.019920,0.000105
837,0.015903,0.000130
838,0.017647,0.000067
839,0.015548,0.000048
840,0.015074,0.000107
841,0.014574,0.000054
842,0.014570,0.000102
843,0.015004,0.000158
844,0.014904,0.000175
845,0.016819,0.000098
846,0.015819,0.000106
847,0.015483,0.000165
848,0.014502,0.000188
849,0.014781,0.000119
850,0.014990,0.000157
851,0.014979,0.000119
852,0.015601,0.000258
853,0.018203,0.000140
854,0.014839,0.000149
855,0.014951,0.000041
856,0.015145,0.000102
857,0.014780,0.000086
858,0.014505,0.000220
859,0.014970,0.000224
860,0.015990,0.000179
861,0.017703,0.000117
862,0.014689,0.000185
863,0.014708,0.000208
864,0.016020,0.000127
865,0.016242,0.000129
866,0.015318,0.000032
867,0.015268,0.000095
868,0.016996,0.000095
869,0.015548,0.000043
870,0.014587,0.000053
871,0.014974,0.000053
872,0.015635,0.000154
873,0.015137,0.000081
874,0.015691,0.000025
875,0.016593,0.000145
876,0.018528,0.000227
877,0.014170,0.000034
878,0.016035,0.000040
879,0.016245,0.000095
880,0.016304,0.000130
881,0.016772,0.000078
882,0.017672,0.000081
883,0.018893,0.000038
884,0.015979,0.000180
885,0.014929,0.000097
886,0.014789,0.000149
887,0.014691,0.000145
888,0.020362,0.000075
889,0.017232,0.000045
890,0.018813,0.000245
891,0.015075,0.000135
892,0.014942,0.000089
893,0.014900,0.000045
894,0.014634,0.000106
895,0.014790,0.000122
896,0.014814,0.000137
897,0.016383,0.000172
898,0.014304,0.000109
899,0.015109,0.000155
900,0.015174,0.000084
901,0.015091,0.000128
902,0.014913,0.000153
903,0.015180,0.000136
904,0.016367,0.000157
905,0.018673,0.000125
906,0.015346,0.000118
907,0.014955,0.000077
908,0.014958,0.000137
909,0.015530,0.000178
910,0.015069,0.000249
911,0.015321,0.000069
912,0.017543,0.000230
913,0.015126,0.000164
914,0.015032,0.000097
915,0.014971,0.000029
916,0.015613,0.000169
917,0.014389,0.000160
918,0.014833,0.000090
919,0.016081,0.000114
920,0.016264,0.000105
921,0.015189,0.000148
922,0.015951,0.000077
923,0.015476,0.000087
924,0.014839,0.000139
925,0.015333,0.000141
926,0.015197,0.000151
927,0.017127,0.000141
928,0.014780,0.000188
929,0.018730,0.000150
930,0.016539,0.000093
931,0.014880,0.000083
932,0.015210,0.000039
933,0.014620,0.000242
934,0.018367,0.000029
935,0.015257,0.000061
936,0.014547,0.000071
937,0.014671,0.000103
938,0.015094,0.000142
939,0.014668,0.000115
940,0.014934,0.000180
941,0.017595,0.000181
942,0.016293,0.000101
943,0.014525,0.000113
944,0.014709,0.000131
945,0.014944,0.000134
946,0.015128,0.000047
947,0.015148,0.000063
948,0.014947,0.000081
949,0.018098,0.000111
950,0.015398,0.000132
951,0.014987,0.000149
952,0.014909,0.000237
953,0.014519,0.000223
954,0.015190,0.000186
955,0.014895,0.000090
956,0.015646,0.000119
957,0.017450,0.000123
958,0.015062,0.000030
959,0.014719,0.000238
960,0.014622,0.000128
961,0.015200,0.000143
962,0.014784,0.000086
963,0.014850,0.000070
964,0.017449,0.000075
965,0.015012,0.000157
966,0.014958,0.000125
967,0.015093,0.000025
968,0.014757,0.000067
969,0.014455,0.000295
970,0.015221,0.000204
971,0.015704,0.000118
972,0.018143,0.000148
973,0.014586,0.000210
974,0.015996,0.000152
975,0.014611,0.000046
976,0.014636,0.000141
977,0.015176,0.000256
978,0.014709,0.000150
979,0.018003,0.000164
980,0.013889,0.000026
981,0.014919,0.000082
982,0.014932,0.000099
983,0.014896,0.000157
984,0.017816,0.000138
985,0.017096,0.000137
986,0.017013,0.000135
987,0.016997,0.000034
988,0.016017,0.000089
989,0.015372,0.000128
990,0.014957,0.000157
991,0.015045,0.000041
992,0.015071,0.000144
993,0.017936,0.000180
994,0.017210,0.000123
995,0.014900,0.000104
996,0.016038,0.000036
997,0.015345,0.000180
998,0.014860,0.000210
999,0.014669,0.000029
1000,0.014769,0.000213
1001,0.018209,0.000316
1002,0.014879,0.000264
1003,0.014789,0.000194
1004,0.015125,0.000101
1005,0.014714,0.000158
1006,0.014761,0.000206
1007,0.014696,0.000120
1008,0.017218,0.000094
1009,0.014506,0.000102
1010,0.015225,0.000156
1011,0.015060,0.000042
1012,0.015290,0.000099
1013,0.015494,0.000108
1014,0.017370,0.000188
1015,0.018542,0.000033
1016,0.016562,0.000041
1017,0.019621,0.000113
1018,0.016381,0.000098
1019,0.017071,0.000128
1020,0.014912,0.000028
1021,0.014549,0.000148
1022,0.016745,0.000197
1023,0.016188,0.000123
